,State Abbv,State,variable,value
325,MA,Massachusetts,F11396,-0.0
326,MD,Maryland,F11396,-0.0
327,ME,Maine,F11396,-0.0
328,MI,Michigan,F11396,0.0
329,MN,Minnesota,F11396,-0.0
330,MO,Missouri,F11396,-0.0
331,MS,Mississippi,F11396,-0.0
332,MT,Montana,F11396,-0.0
333,NC,North Carolina,F11396,-0.12339492124530681
334,ND,North Dakota,F11396,-0.0
335,NE,Nebraska,F11396,-0.0
336,NH,New Hampshire,F11396,-0.0
337,NJ,New Jersey,F11396,-0.0
338,NM,New Mexico,F11396,0.0
339,NV,Nevada,F11396,-0.0
340,NY,New York,F11396,0.0
341,OH,Ohio,F11396,-0.0
342,OK,Oklahoma,F11396,-0.0
343,OR,Oregon,F11396,0.0
344,PA,Pennsylvania,F11396,-0.0
345,RI,Rhode Island,F11396,0.0
346,SC,South Carolina,F11396,-0.0
347,SD,South Dakota,F11396,-0.0
348,TN,Tennessee,F11396,-0.0
349,TX,Texas,F11396,-0.0
350,UT,Utah,F11396,-0.0
351,VA,Virginia,F11396,-0.0
352,VT,Vermont,F11396,-0.0
353,WA,Washington,F11396,0.0
354,WI,Wisconsin,F11396,0.0
355,WV,West Virginia,F11396,-0.0
356,WY,Wyoming,F11396,-0.0
357,AK,Alaska,F13191,0.0
358,AL,Alabama,F13191,-0.0
359,AR,Arkansas,F13191,-0.0
360,AZ,Arizona,F13191,-0.0
361,CA,California,F13191,-0.0
362,CO,Colorado,F13191,-0.0
363,CT,Connecticut,F13191,-0.0
364,DC,Washington D.C.,F13191,0.0
365,DE,Delaware,F13191,-0.0
366,FL,Florida,F13191,-0.0
367,GA,Georgia,F13191,-0.019863579087339767
368,HI,Hawaii,F13191,-0.0
369,IA,Iowa,F13191,-0.0
370,ID,Idaho,F13191,-0.0
371,IL,Illinois,F13191,-0.0
372,IN,Indiana,F13191,-0.0
373,KS,Kansas,F13191,-0.0
374,KY,Kentucky,F13191,-0.0
375,LA,Louisiana,F13191,-0.0
376,MA,Massachusetts,F13191,-0.0
377,MD,Maryland,F13191,-0.0
378,ME,Maine,F13191,-0.0
379,MI,Michigan,F13191,0.0
380,MN,Minnesota,F13191,-0.0
381,MO,Missouri,F13191,-0.0
382,MS,Mississippi,F13191,-0.0
383,MT,Montana,F13191,0.0
384,NC,North Carolina,F13191,-0.027758278143720696
385,ND,North Dakota,F13191,-0.0
386,NE,Nebraska,F13191,-0.0
387,NH,New Hampshire,F13191,-0.0
388,NJ,New Jersey,F13191,-0.0
389,NM,New Mexico,F13191,0.0
390,NV,Nevada,F13191,-0.0
391,NY,New York,F13191,-0.0
392,OH,Ohio,F13191,-0.0
393,OK,Oklahoma,F13191,-0.0
394,OR,Oregon,F13191,0.0
395,PA,Pennsylvania,F13191,-0.0
396,RI,Rhode Island,F13191,0.0
397,SC,South Carolina,F13191,-0.12560544563128484
398,SD,South Dakota,F13191,-0.0
399,TN,Tennessee,F13191,-0.0
400,TX,Texas,F13191,-0.0
401,UT,Utah,F13191,-0.0
402,VA,Virginia,F13191,-0.0
